idRestaurant,inspectionDate,violationCode,violationDescription,criticalFlag,score,grade,idInspection
41365332,2014-06-26,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,8,A,4c51f1f8-46e0-432b-b07f-e60298206d17
41061923,2014-03-15,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,21,,3319f990-b1a3-4b6b-ae0f-41f0d62abb12
41597953,2013-10-17,,,Not Applicable,0,,a8261402-1f84-4af2-b914-22146edb3ab6
41511573,2015-06-25,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,3b2601cc-7d34-4527-bbfb-9b37dff09161
40957772,2014-09-02,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,895c4f4f-7c15-4551-bd70-b677b8a5fdeb
41264513,2014-01-16,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10,A,714e9e9a-9866-4c56-a5f6-386c7229e38c
41464542,2015-06-30,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,51e77866-ea8b-42e3-be3e-6782bc96dc2f
41394768,2016-08-16,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,20,,2fa6e8c3-bc7a-460d-8a2f-67bcb433eac9
40393761,2015-10-27,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,5,A,92b44b03-aceb-42af-97ed-1a231ec69f90
41131819,2014-08-06,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,50f78ad0-fa1e-4706-8ff8-b9fa057997e1
50017207,2015-01-07,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,,8559e7d5-4111-4a25-be1e-aaffade0f410
41053236,2013-06-24,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,7,,0085725d-a82b-47f1-80b7-e40d5154aed4
50019204,2015-09-02,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,c5b1e945-4da1-4693-963a-e3455e1aee76
50005224,2015-10-08,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,fdf6537e-e487-4b7d-8ca9-c2834b2736c9
41633054,2013-05-04,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,,859e668d-cc91-466b-b862-1c18cecdf3a1
41593479,2014-04-17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26,B,4b9c60cf-6728-4a56-b20e-85a150ed7088
40482586,2013-12-28,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,25,,4d84c273-74cd-4268-a347-cca9074e5fe2
50005543,2015-03-07,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,a5e6a78a-303b-4e58-8026-c415f92d2da4
41572498,2015-06-06,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,15,,ce57b979-ca14-4154-9c20-0334c8cce67d
41565555,2016-03-16,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,7,A,a69e7f30-1e82-47f1-a722-a44741beb4c3
50004854,2015-02-24,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,10,A,f42172d1-23dc-43f4-a196-a437982ffc85
41025331,2016-05-17,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,32,,55019a11-c309-4b65-a85f-f2a9a1b0a183
41688594,2014-07-09,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21,,323b688e-c5d1-4c6a-8d3a-76c819ff5a23
50012427,2014-10-15,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,65,,351ce3fb-34c1-40f1-bcdf-cad7bd9eeeea
40991365,2013-02-04,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,13,A,de8c8cb1-fa86-47d3-b3f8-fe2fde56d351
41040405,2014-06-28,,,Not Applicable,0,,2e7b8cc7-fa71-44af-af3f-a018842af585
41490874,2015-08-19,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,12,A,494d2ab8-5fec-4648-8f14-ecb20e06718e
41110973,2014-02-01,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Ã‚Âº F to 70Ã‚Âº F or less within 2 hours, and from 70Ã‚Âº F to 41Ã‚Âº F or less within 4 additional hours.",Critical,15,,47ebe484-e19c-4e09-9b42-7855b75bd419
41612393,2016-07-29,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22,,f6282003-39ce-4fb5-97c8-4d2ad0e136b7
41466148,2014-09-24,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,0,,b0aa60f6-8d14-4d86-8fbc-a89032a371c1
41649766,2016-07-28,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,23,,00d5a8d2-35e0-40cb-b550-3dc2bf6f7ac9
41008388,2014-05-10,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,22,,92a444f4-9a10-4258-a7e6-22791ccbb0d5
41705491,2014-11-10,16A,"A food containing artificial trans fat, with 0.5 grams or more of trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item, or served.",Not Critical,0,,a8506b83-1224-4e91-a629-cfb3b842836c
41419773,2015-02-11,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21,,d3230dd2-92bf-4cac-aba9-8be084832aa8
41271988,2015-07-21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,18,,716ddf34-2c12-42fb-8cb2-d405391b0277
41705763,2014-07-12,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,30,,42f19f7d-3891-4076-b42a-4a00910af25e
40385885,2015-05-26,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,,9617d4ae-aa74-4996-a58d-193715ba4e61
41705612,2015-03-26,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,bec7bbe5-5136-4920-a3c7-641ca89f0cc9
41539257,2013-10-24,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,0,,55937cac-a52b-4245-8d48-eda7f8017f2e
41562204,2015-07-16,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,16,,3d30557c-2990-4dbe-8028-130d5573cb18
41277104,2015-03-24,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,17,B,ddc4608f-a816-4c7f-ae2d-b2df3ec1d548
41641200,2014-12-02,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,e3a998a6-f183-4823-92e2-90d577d9cba4
50016321,2015-08-11,04M,Live roaches present in facility's food and/or non-food areas.,Critical,20,B,ce1bfbfa-6571-45aa-900c-b169869c9a3f
41482047,2013-03-19,02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65Ã‚Âº F or above within 2 hours.,Critical,5,A,a24eed7a-183b-4541-837e-d584680b63b4
41096895,2014-03-03,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,3269771d-f148-4793-bc9a-4637ffcda170
40402145,2014-05-14,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,,fa57fe5e-7cd5-4922-a37d-a626007a9b3d
41344229,2016-04-11,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,20,,7b9a46ea-6d09-4dda-97c7-352437e22436
50001206,2014-03-05,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,5,,11332b0d-fd0c-42e3-b04c-f95194160427
41656235,2013-11-04,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,e1a4a366-07af-40cf-85a7-237893dc44f4
50044007,2015-12-12,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,17,,0ab5eb4d-1ae2-4a7e-bd45-6ed92de0db58
50037497,2016-03-02,,,Not Applicable,0,,7e5a5d3c-95b7-46b7-b902-8046809b0f17
41637080,2013-06-28,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,10,,33d11a6f-938c-4dc2-9f24-0ef0465d23f4
40865879,2013-12-02,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,,a31cbd26-b8d5-4df2-869e-7780e2675dfa
40750264,2014-01-22,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,19,,d15dd6bb-566d-4bc3-9d51-dc65c4cc1e8b
50033559,2015-04-07,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17,,8dbab6a1-d0b5-4f3d-8301-431a89d19a96
40592811,2014-11-25,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,8fc4bafd-ce8a-4ecd-9b19-03c02abbbee7
40965177,2014-08-25,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,66,,93d325c8-1cd4-4925-ab94-ec1ff63fdcc7
41373642,2014-07-11,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,d094ad0d-83d5-427e-a51d-fd8ebf35a2a6
41504766,2013-11-13,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,20,,49099b29-4633-42bb-a1e0-4fd4d412ea7c
40542345,2013-04-01,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Critical,47,,2b728906-1d0c-4acf-a867-05cec60451cb
41480500,2016-09-01,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,7,A,5eadf5b7-780c-4ef2-97be-bc7bae6b8c0a
41315168,2013-10-03,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,22,,2ea017b4-7060-4d17-be21-a200149865da
41638129,2014-07-28,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,6f4aa0e5-b1ea-48b8-96df-b742d1400831
50042894,2016-07-23,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,22,,e3e36ee4-d43c-402f-bfab-41b79308e5da
41314025,2014-08-20,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,e97f9865-135e-4b3d-98ea-9b7e7bdea1d9
