idRestaurant,name,borough,buildingnum,street,zipcode,phone,cuisineType,inspectionDate,violationCode,violationDescription,criticalFlag,score,grade
40678235,BOURBON STREET,QUEENS,4012,BELL BOULEVARD,11361,7182242200,American,2015-08-06,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Ã‚Âº F to 70Ã‚Âº F or less within 2 hours, and from 70Ã‚Âº F to 41Ã‚Âº F or less within 4 additional hours.",Critical,19,
50001516,IL SALUMAIO WINE BAR,MANHATTAN,1731,2ND AVE,10128,6468526876,Italian,2015-02-04,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15,
40396889,LA ANTIOQUENA BAKERY II,QUEENS,4007,NATIONAL STREET,11368,7182051314,Bakery,2015-07-13,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A
50006381,L'ALBERO DEI GELATI,BROOKLYN,341,5TH AVE,11215,7187882288,Italian,2015-09-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A
41279543,REAL THAI RESTAURANT,MANHATTAN,1069,1 AVENUE,10022,2127529277,Thai,2015-11-17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A
40845757,CAFE STEINHOF,BROOKLYN,422,7 AVENUE,11215,7183697776,Eastern European,2013-09-26,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,32,
40754552,STARBUCKS,MANHATTAN,165,BROADWAY,10006,2126086481,CafÃƒÂ©/Coffee/Tea,2013-02-07,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,33,
40943583,THE PRESS BOX,MANHATTAN,932,2 AVENUE,10022,2123171826,American,2016-06-02,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,11,A
50033842,RU YI BROADWAY RESTAURANT,QUEENS,8334,BROADWAY,11373,7186393366,Chinese,2015-09-02,03B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.",Critical,80,
50036924,ABUMI SUSHI,MANHATTAN,207,E 26TH ST,10010,2125328783,Japanese,2016-09-14,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,
50008594,WHIT'S END PIZZERIA,QUEENS,9720,ROCKAWAY BEACH BLVD,11693,7189454871,Pizza,2014-11-28,04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",Critical,20,
50016598,DUNKIN' DONUTS,QUEENS,NKA,JFK INTERNATIONAL AIRPORT,11430,6464508644,Donuts,2016-03-31,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A
41563445,GMT TAVERN,MANHATTAN,142,BLEECKER STREET,10012,6468633776,American,2013-12-04,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,44,
41639772,AM THAI BISTRO,BROOKLYN,1003,CHURCH AVENUE,11218,7182878888,Thai,2015-10-08,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,11,A
41158252,GOLDEN HORSE RESTAURANT,BRONX,2185,MORRIS AVENUE,10453,7183640594,Chinese,2015-01-07,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,18,
41247222,THE THIRD PALM TREE,MANHATTAN,2145,AMSTERDAM AVENUE,10032,2129239622,American,2014-05-10,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A
41252528,Y J FRIED FISH,QUEENS,8901,165 STREET,11432,7185261202,Seafood,2015-04-10,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,55,
50005707,HANA SUSHI,BROOKLYN,524,86TH ST,11209,7182384513,Japanese,2015-09-14,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,42,
41624530,PIO PIO,MANHATTAN,604,10 AVENUE,10036,2124592929,Peruvian,2015-04-09,10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",Not Critical,10,A
40947038,POPEYES,QUEENS,10413,LEFFERTS BOULEVARD,11419,7183222127,Chicken,2015-05-28,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A
40403579,THE TAP ROOM,MANHATTAN,1,WEST   54 STREET,10019,2125723420,American,2013-10-09,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A
40831075,MURPHY'S PUB & RESTAURANT,MANHATTAN,977,2 AVENUE,10022,2127515400,Irish,2015-07-30,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A
41139066,HALLAL SANDWICH SHOP,QUEENS,2561,STEINWAY STREET,11103,7187269262,Sandwiches,2016-10-05,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,35,
41503714,MISS KOREA,MANHATTAN,10,WEST   32 STREET,10001,2125944963,Korean,2016-01-25,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,6,A
50006206,HUMMUS KITCHEN,MANHATTAN,768,9TH AVE,10019,2123333009,Jewish/Kosher,2015-09-22,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,
50004793,THE PEACOCK/THE SHAKESPEARE,MANHATTAN,24,E 39TH ST,10016,6468376776,Eastern European,2016-06-10,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A
41477498,SWEET SWEET SUE'S,STATEN ISLAND,895,ANNADALE ROAD,10312,7189662253,American,2016-05-11,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,11,A
41103981,GRAND CAFE/ FRESH ORGANIC,QUEENS,3701,30 AVENUE,11103,7187777321,Greek,2014-12-31,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A
50041486,KIMOTO ROOFTOP,BROOKLYN,216,DUFFIELD ST,11201,7188588940,Asian,2016-06-11,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,23,
41571277,VAN LEEUWEN ARTISAN ICE CREAM,MANHATTAN,48 1/2,EAST    7 STREET,10003,7187150758,"Ice Cream, Gelato, Yogurt, Ices",2013-10-28,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,14,
41487544,NANOOSH,MANHATTAN,173,MADISON AVENUE,10016,2124474345,Mediterranean,2014-01-21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,37,
40536616,RIAZOR BLUE TAPAS BAR,QUEENS,8905,NORTHERN BOULEVARD,11372,7184248464,Spanish,2013-12-04,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,30,
41355748,MD BAGELS DELI & GROCERY,STATEN ISLAND,434,CASTLETON AVENUE,10301,7188764960,Delicatessen,2015-04-14,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A
41658762,JOE BROADWAYS BILLIARDS,STATEN ISLAND,2178,FOREST AVENUE,10303,7187279194,American,2013-08-29,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,41,C
41333623,AMSTERDAM TAVERN,MANHATTAN,938,AMSTERDAM AVENUE,10025,2122808070,American,2015-08-04,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A
40941277,XIN HING RESTAURANT,BRONX,1171,JEROME AVENUE,10452,7189927310,Chinese,2016-04-19,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11,A
50036072,LUISA CHIMICHURRY,MANHATTAN,1351,SAINT NICHOLAS AVE,10033,2127811489,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-02-11,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,41,
41311922,HAPPY FRESH TORTILLA GRILL,BROOKLYN,299,7 AVENUE,11215,7184999881,Tex-Mex,2014-04-23,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,7,A
50010022,UNION BAR & KITCHEN,MANHATTAN,300,SPRING ST,10013,6467910005,American,2014-07-01,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,34,
41520341,EASTERN CHINESE RESTAURANT,BROOKLYN,127,KINGSTON AVENUE,11213,7187353408,Asian,2015-05-01,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A
40909425,PUEBLA SEAFOOD,QUEENS,9527,ROOSEVELT AVENUE,11372,7186723556,Mexican,2014-09-26,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,7,A
40871979,WILBEL PIZZA,BRONX,605,SOUTHERN BOULEVARD,10455,7182922450,Pizza,2014-09-18,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,21,B
50006441,SLAKE,MANHATTAN,251,W 30TH ST,10001,2126958970,American,2014-05-16,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,
41455224,MANOR OKTOBERFEST FOREST HILLS,QUEENS,7311,YELLOWSTONE BOULEVARD,11375,7185442400,German,2014-04-19,22E,ROP processing equipment not approved by DOHMH.,Not Critical,0,
50040510,CIPURA,BROOKLYN,1901,EMMONS AVE,11235,7187585353,Turkish,2016-08-04,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,60,
50009222,QUEEN BAKERY,MANHATTAN,150,MOTT ST,10013,2129668998,Chinese,2015-10-23,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19,B
41713515,NEW LI HING RESTAURANT,BROOKLYN,304,AVENUE U,11223,7183739708,Chinese,2013-12-03,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,18,
41322342,"DUNKIN' DONUTS, BASKIN ROBBINS",QUEENS,8413,JAMAICA AVE,11421,7188479129,Donuts,2014-11-26,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,18,
41643117,JEAN CLAUDE FRENCH BISTRO,MANHATTAN,1343,2 AVENUE,10021,2122493400,French,2016-04-04,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,35,
41221190,PANADERIA COATZINGO,QUEENS,7611,ROOSEVELT AVENUE,11372,7184294160,Bakery,2016-06-21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A
41299657,THE BARN,QUEENS,3009,21 STREET,11102,7187280305,American,2013-06-05,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,16,
41432588,TOASTIES,MANHATTAN,23,EAST   51 STREET,10022,2123717676,American,2013-10-22,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,9,A
41365332,DUNKIN' DONUTS,MANHATTAN,1443,YORK AVENUE,10075,2124521026,Donuts,2014-06-26,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,8,A
41061923,LENOS BAR CAFE,QUEENS,8015,NORTHERN BOULEVARD,11372,7185331113,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014-03-15,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,21,
41597953,WOLF AND DEER BROOKLYN,BROOKLYN,74,5 AVENUE,11217,7183983181,American,2013-10-17,,,Not Applicable,0,
41511573,BETTER GOURMET HEALTH KITCHEN,STATEN ISLAND,2333,HYLAN BOULEVARD,10306,7186680400,American,2015-06-25,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A
40957772,LULU'S NURSE BETTIE,MANHATTAN,106,NORFOLK STREET,10002,2124777515,American,2014-09-02,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A
41264513,THE ORIGINAL FRES'CO TORTILLA PLUS,BROOKLYN,113,COURT STREET,11201,7182378898,Tex-Mex,2014-01-16,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10,A
41464542,THE BLUEBELL CAFE,MANHATTAN,293,3 AVENUE,10010,6466492389,Continental,2015-06-30,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A
41394768,PICNIC GARDEN,QUEENS,14742,NORTHERN BOULEVARD,11354,7183585959,Korean,2016-08-16,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,20,
40393761,SAN PIETRO,MANHATTAN,18,EAST   54 STREET,10022,2127539015,Italian,2015-10-27,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,5,A
41131819,REVEL ITM GARDEN,MANHATTAN,10,LITTLE WEST   12 STREET,10014,2126455369,Italian,2014-08-06,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A
50017207,COCOHODO,QUEENS,15807,NORTHERN BLVD,11358,9178085306,CafÃƒÂ©/Coffee/Tea,2015-01-07,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,
41053236,DIZZY'S CLUB COCA-COLA (ENTRANCE at 20 W60 St-Stage Door),MANHATTAN,10,COLUMBUS CIRCLE,10019,2122589585,American,2013-06-24,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,7,
50019204,ESCAPE INTERNATIONAL CUISINE,BRONX,1841,HOBART AVE,10461,7186841860,American,2015-09-02,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A
50005224,Bouley Botanical,MANHATTAN,35,WHITE ST,10013,2129642525,French,2015-10-08,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A
41633054,TASTE OF TACO/YUMMY CHINA,QUEENS,6841,MYRTLE AVE,11385,7184564062,Tex-Mex,2013-05-04,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,
41593479,SKY FOOD COURT(SKY MALL),QUEENS,4024,COLLEGE POINT BOULEVARD,11354,7189396688,Chinese,2014-04-17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26,B
40482586,BOOTH THEATER,MANHATTAN,220,WEST 45 STREET,10036,2125867610,American,2013-12-28,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,25,
50005543,LAS PALMAS RESTAURANT,MANHATTAN,3891,BROADWAY,10032,9175210349,Mexican,2015-03-07,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A
41572498,YANKEE BAR & GRILL/MONUMENTAL EMPANADAS,BRONX,844,RIVER AVENUE,10451,3472705410,American,2015-06-06,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,15,
41565555,A.G KITCHEN,MANHATTAN,269,COLUMBUS AVENUE,10023,2128739400,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-03-16,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,7,A
50004854,A&E Networks,MANHATTAN,235,E 45TH ST,10017,2128576313,CafÃƒÂ©/Coffee/Tea,2015-02-24,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,10,A
41025331,GUY & GALLARD 8,MANHATTAN,180,MADISON AVENUE,10016,2127252303,American,2016-05-17,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,32,
41688594,THE FALAFEL SHOP,MANHATTAN,127,RIVINGTON STREET,10002,2124661222,Vegetarian,2014-07-09,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21,
50012427,CAFFE BENE,MANHATTAN,9,EDWARD M MORGAN PL,10032,2122838886,American,2014-10-15,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,65,
40991365,NAM SON RESTAURANT,MANHATTAN,245,GRAND STREET,10002,2129666507,Asian,2013-02-04,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,13,A
41040405,MCDONALD'S,BROOKLYN,139,FLATBUSH AVENUE,11217,7182300176,Hamburgers,2014-06-28,,,Not Applicable,0,
41490874,SUBWAY,MANHATTAN,6466,DELANCY STREET,10002,2125989700,Sandwiches,2015-08-19,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,12,A
41110973,EL GRAN MAR DE PLATA,BROOKLYN,3175,FULTON STREET,11208,7188271717,Spanish,2014-02-01,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Ã‚Âº F to 70Ã‚Âº F or less within 2 hours, and from 70Ã‚Âº F to 41Ã‚Âº F or less within 4 additional hours.",Critical,15,
41612393,THE IRISH AMERICAN,MANHATTAN,17,JOHN STREET,10038,6464146223,Irish,2016-07-29,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22,
41466148,WHISKEY SOCIAL,MANHATTAN,35,WEST    8 STREET,10011,6467264476,American,2014-09-24,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,0,
41649766,A & S CATERERS,STATEN ISLAND,3135,VICTORY BOULEVARD,10314,7189837500,American,2016-07-28,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,23,
41008388,LANDMARC,MANHATTAN,179,WEST BROADWAY,10013,2123433883,French,2014-05-10,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,22,
41705491,SABOR TORIBIO RESTAURANT,BROOKLYN,446,WILSON AVENUE,11221,3474421160,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014-11-10,16A,"A food containing artificial trans fat, with 0.5 grams or more of trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item, or served.",Not Critical,0,
41419773,NATUREWORKS RESTAURANT,MANHATTAN,113,EAST   31 STREET,10016,2127251411,American,2015-02-11,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21,
41271988,ECUADORIAN FOOD RESTAURANT,QUEENS,4120,34 AVENUE,11101,7187292889,Spanish,2015-07-21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,18,
41705763,CITYSCAPES NY,QUEENS,5561,58 STREET,11378,7183668900,American,2014-07-12,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,30,
40385885,HUNTER'S STEAK & ALE HOUSE,BROOKLYN,9404,FOURTH AVENUE,11209,7182388899,Steak,2015-05-26,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,
41705612,PEACEFOOD CAFE DOWNTOWN,MANHATTAN,41,EAST   11 STREET,10003,2129792288,Vegetarian,2015-03-26,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A
41539257,FOO KEE SEAFOOD RESTAURANT,QUEENS,13614,38 AVENUE,11354,7183580666,Chinese,2013-10-24,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,0,
41562204,GUY & GALLARD,MANHATTAN,470,PARK AVENUE SOUTH,10016,2124271106,American,2015-07-16,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,16,
